Nr;Original City Name;City Name Today;Fragment of City;Coordinates;Wiki;Comment;XV.1/0;XV.1/1;XV.1/2;XV.1/3;XV.1/4;XV.1/5;XV.1/6;XV.1/7;XV.1/8;XV.1/9;XV.1/10;XV.1/11;XV.38/0;XV.38/1;XV.38/2;XV.38/3;XV.38/4;XV.38/5;XV.38/6;XV.38/7;XV.38/8;XV.38/9;XV.38/10;XV.38/11;XV.38/12;XV.38/13;XV.38/14;Map_1;Map_2;Map_3
1;Wierzchocino;Wierzchucino;;54.787222, 18.001111;https://pl.wikipedia.org/wiki/Wierzchucino;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
2;Dębek;Dębki;;54.826944, 18.078889;https://pl.wikipedia.org/wiki/D%C4%99bki;;;;;;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
2a;Żarnowiec;;;54.7875, 18.083333;https://pl.wikipedia.org/wiki/%C5%BBarnowiec_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
3;Sławoszyno;;;54.786111, 18.195278;https://pl.wikipedia.org/wiki/S%C5%82awoszyno;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
4;Ostrowo;;;54.825, 18.244444;https://pl.wikipedia.org/wiki/Ostrowo_(powiat_pucki);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
5;Mieroszyno;;;54.798889, 18.313056;https://pl.wikipedia.org/wiki/Mieroszyno;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
6;Wielka Wieś;Władysławowo;;54.789677, 18.403050;https://pl.wikipedia.org/wiki/W%C5%82adys%C5%82awowo;;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
7;Kuźnica;;;54.734444, 18.581667;https://pl.wikipedia.org/wiki/Ku%C5%BAnica_(wojew%C3%B3dztwo_pomorskie);;a;;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;aaaaa;aaaaa;bbbbb
8;Bór;;Hel;54.654444, 18.757778;https://pl.wikipedia.org/wiki/B%C3%B3r_(Hel);;a;;;a;;;1;;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;aaaaa;bbbbb
9;Gnieżdżewo;;;54.746111, 18.379167;https://pl.wikipedia.org/wiki/Gnie%C5%BCd%C5%BCewo;;a;1;;a;;;;1;1;;1;1;1;;;;;;;1;1;1;;1;;;1;bbbbb;aaaaa;bbbbb
