point_id;Original City Name;City Name;Fragment of City;Coordinates;District in MAGP;Wiki;Comment
1;Istebna ;;;49.563889,18.893889;Cieszyn;https://pl.wikipedia.org/wiki/Istebna;
2;Jabłonka ;;;49.479444,19.693889;Nowy Targ;https://pl.wikipedia.org/wiki/Jab%C5%82onka_(wojew%C3%B3dztwo_ma%C5%82opolskie);
2A;Chochołów;;;49.366667,19.818056;Nowy Targ;https://pl.wikipedia.org/wiki/Chocho%C5%82%C3%B3w_(wojew%C3%B3dztwo_ma%C5%82opolskie);
2B;Łapsze Niżne;;;49.397778,20.241944;Nowy Targ;https://pl.wikipedia.org/wiki/%C5%81apsze_Ni%C5%BCne;
2C;Sromowce Wyżne;;;49.404722,20.34;Nowy Targ;https://pl.wikipedia.org/wiki/Sromowce_Wy%C5%BCne;
3;Brzezna-Litacz;;;49.611944,20.582778;Nowy Sącz;https://pl.wikipedia.org/wiki/Brzezna-Litacz;
4;Mrukowa;;;49.590556,21.451667;Jasło;https://pl.wikipedia.org/wiki/Mrukowa;
4A;Sękowa;;;49.622778,21.197778;Gorlice;https://pl.wikipedia.org/wiki/S%C4%99kowa;
5;Niebieszczany ;;;49.501111,22.159722;Sanok;https://pl.wikipedia.org/wiki/Niebieszczany;
6;Michałówka;;;49.950278,22.8725;Jarosław;https://pl.wikipedia.org/wiki/Micha%C5%82%C3%B3wka_(wojew%C3%B3dztwo_podkarpackie);
7;Wyżne;;;49.918889,21.877778;Rzeszów;https://pl.wikipedia.org/wiki/Wy%C5%BCne;
8;Jodłówka Tuchowska;;;49.825833,21.084444;Tarnów;https://pl.wikipedia.org/wiki/Jod%C5%82%C3%B3wka_Tuchowska;
9;Lubomierz;;;49.855833,20.250833;Bochnia;https://pl.wikipedia.org/wiki/Lubomierz_(powiat_boche%C5%84ski);
10;Łękawica;;;49.840833,19.578056;Wadowice;https://pl.wikipedia.org/wiki/%C5%81%C4%99kawica_(powiat_wadowicki);
11;Karwina;;;49.854167,18.542778;Cieszyn (CSRS);https://pl.wikipedia.org/wiki/Karwina;
12;Solec;;;50.382222,17.721667;Prudnik;https://pl.wikipedia.org/wiki/Solec_(wojew%C3%B3dztwo_opolskie);
12A;Śmicz;;;50.411389, 17.613056;Prudnik;pl.wikipedia.org/wiki/Śmicz;
12B;Sowin;;;50.550833,17.631111;Niemodlin;https://pl.wikipedia.org/wiki/Sowin_(wojew%C3%B3dztwo_opolskie);
12B (!);Rzymkowice;;;50.498333,17.676111;Niemodlin;https://pl.wikipedia.org/wiki/Rzymkowice;
13;Rudziniec;;;50.356944,18.407778;Gliwice;https://pl.wikipedia.org/wiki/Rudziniec;
14;Porąbka;;;50.28,19.222222;Będzin;https://pl.wikipedia.org/wiki/Por%C4%85bka_(Sosnowiec);
15;Chodów;;;50.385278,19.968611;Miechów;https://pl.wikipedia.org/wiki/Chod%C3%B3w_(wojew%C3%B3dztwo_ma%C5%82opolskie);
16;Chotel Czerwony;;;50.381389,20.708889;Busko;https://pl.wikipedia.org/wiki/Chotel_Czerwony;
17;Durdy;;;50.423056,21.591389;Tarnobrzeg;https://pl.wikipedia.org/wiki/Durdy;
18;Lipiny Górne;;;50.4125,22.5;Biłgoraj;https://pl.wikipedia.org/wiki/Lipiny_G%C3%B3rne-Lewki;
19;Płazów;;;50.3125,23.242778;Lubaczów;https://pl.wikipedia.org/wiki/P%C5%82az%C3%B3w;
19A;Posadów;;;50.496944,23.815556;Tomaszów Lubelski;https://pl.wikipedia.org/wiki/Posad%C3%B3w_(gmina_Telatyn);
20;Moniatycze;;;50.865278,23.863611;Hrubieszów;https://pl.wikipedia.org/wiki/Moniatycze;
21;Chomęciska Duże;;;50.798611,23.175278;Zamość;https://pl.wikipedia.org/wiki/Chom%C4%99ciska_Du%C5%BCe;
22;Zdziłowice;;;50.812222,22.531667;Kraśnik;https://pl.wikipedia.org/wiki/Zdzi%C5%82owice;
23;Janiszów;;;50.820556,21.881944;Kraśnik;https://pl.wikipedia.org/wiki/Janisz%C3%B3w_(powiat_kra%C5%9Bnicki);
24;Lechów;;;50.805833,20.998611;Kielce;https://pl.wikipedia.org/wiki/Lech%C3%B3w_(wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie);
25;Bolmin;;;50.808889,20.351111;Kielce;https://pl.wikipedia.org/wiki/Bolmin_(wojew%C3%B3dztwo_%C5%9Bwi%C4%99tokrzyskie);
26;Mokrzesz;;;50.811667,19.386111;Częstochowa;https://pl.wikipedia.org/wiki/Mokrzesz;
